Event Name, Time, Description, Event URL
Comedy at the Lantern,2017-11-11T18:00:00,"Featuring a rotating line-up of pro comics who perform around the country, the Lantern hosts the best free stand-up comedy show in the Village with great shows every night of the week:
Monday-Thursday: 8pm, 10pm
Friday-Saturday: 6pm, 8pm, 10pm, Midnight
Sunday: 6pm, 8pm, 10pm
No cover, 1 drink minimum. Enjoy $5 margaritas and half-off wine all night.
Please note that seating is first come first serve, so please arrive 15 MINUTES BEFORE showtime to guarantee a seat. If you arrive AFTER that, we cannot guarantee you a seat!",https://www.eventbrite.com/e/comedy-at-the-lantern-tickets-39584835308?aff=ebapi
"An Elegant Evening of Boleros, Brazilian & Latin Jazz",2017-11-11T22:30:00,"Singer Maria Alejandra Rodriguez hails from Venezuela, but the music she sings has an international influence that features tinges of bossa nova, cha cha cha, boleros, Latin jazz and other modern arrangements for a style all its own. In this show at  Club Bonafide in New York City, this seductive South American songstress presents selections from her latest album, Aqui y alla, on which she arranged, composed and produced most of the tracks.Her music has a style of its own but always rooted in Venezuelan traditional music blended with tinges of bossa nova,Cha cha cha, Boleros, Latin jazz and other modern rhythms in her arrangements. Her voice stands out for its beauty, tuning and cool touch with a deep feeling. Now, she unfolds her new musical phase in a more artistic and complete way both as a musician and a singer being the female voice of the venezuelan cuatro.In 2010, she left for The United States to keep on growing musically. There she explored the local circuit interpreting her own music as a singer songwriter. Among her successful presentations were the full house shows in Miami, Florida where she performed at concert halls like Books & Books, Van Dyke Café, and Teatro Para Todos, Hoy Como Ayer, Miami Hilton Intercontinental Wynwood Kitchen and Bar, MOCA Museum of Contemporary Art, North Miami. She also performed sold out in New York at Terraza Seven, El Taller Latinoamericano, Casa Mezcal, Antibes Bistró and Shrine World Music Venue.María Alejandra Rodríguez settled in Mérida, ‘The City of Gentlemen’, wishful to perform for Venezuelans. In June 2015, she performed with the Aragua Symphony Orchestra playing her own songs. She participated in two important jazz festivals: the Saveurs Jazz Festival in Segré, and Wolfi Jazz in Normandy, France where she was accompanied by the excellent trumpeter Nicolás Folmer in July of this year. She is currently promoting her latest outing entitled “Aquí y allá” where she debuts as arranger and composer of most tracks, and producer.
",https://www.eventbrite.com/e/an-elegant-evening-of-boleros-brazilian-latin-jazz-tickets-39707602508?aff=ebapi
The Upside Down: A Stranger Things Theme Party,2017-11-11T22:00:00,"Fall 1984: When terrifying supernatural forces once again begin to affect Hawkins, they realize Will's disappearance was only the beginning. And so the adventure continues...



Join us for a Stranger Things themed party as we explore the Upside Down. Enjoy a fun night of awesome 80's music and featured music from from Stranger Things. There's going to be a cool trivia segment, art, a costume contest, and much more. 

MUSIC
We have delved deep into Jonathan Byers' record collection and will be playing classics from the era - ""all the best stuff... Joy Division, Bowie, Television, The Smiths. It could totally change your life.""
Expect to hear all of the tracks from the show by The Clash, Toto, Joy Division, Foreigner, Modern English, Corey Hart, The Bangles and Jefferson Airplane - plus the likes of The Smiths, The Cure, David Bowie, New Order, Talking Heads, A Flock Of Seagulls, Depeche Mode, Television, Soft Cell, Blondie, The Undertones, The Psychedelic Furs, The Human League, Iggy Pop, The Specials, Billy Idol, The Jam & many more.

DRESS CODEWe're taking you the upside down, so make sure to look the part!Demogorgons, Barbs, Dustins, Elevens & Papa's... but we also encourage all looks from the era, so think: Lycra, Shell-suits, Neon, questionable haircuts. You get the idea. Costumes are not mandatory, but highly encouraged!
All guests must be 21+
Entry is free before 11:00 PM with RSVP [SOLD OUT]
Guaranteed Admission tickets are on sale",https://www.eventbrite.com/e/the-upside-down-a-stranger-things-theme-party-tickets-39012693015?aff=ebapi
The Attic Rooftop Saturdays,2017-11-11T22:00:00," 

 
I Love the '90s Halloween Party
https://ilove90shalloween.eventbrite.com

 
***RSVP FOR FREE ADMISSION AND NO WAIT IN LINE****

PRIVE GROUP Presents:
THE ATTIC ROOFTOP SATURDAYS
Join us each and every Saturday at the beautiful and exclusive Attic Rooftop!
The team that brought The DL and Dinner on Ludlow to the Lower East Side has recently built a rooftop lounge in Hell's Kitchen with sweeping views of Manhattan. The 5,000 square foot bi-level venue, boasting indoor and outdoor space, is located in the penthouse of the Hilton Garden Hotel at 251 West 48th Street near 8th Avenue.  The DL’s Mino Habib and NYC nightlife veteran Paul Seres are at the helm of the space located on the 15th and 16th floors of the property.
Renowned designer Marc Dizon (Hakkasan Las Vegas, Revel, The Darby) was brought in to renovate and redesign the space and took his inspiration from the golden era of Hollywood. The 16th floor rooftop celebrates the bold patterns and relaxed environment of Beverly Hills pool lounges and outdoor gardens while the lower level lounge, with floor to ceiling glass windows, is inspired by the robust architecture of Richard Neutra and the post contemporary Hollywood Hills vernacular.  It's a cozy lounge with a sunken living room feel.  The color palette is silver and grey with warm woods.  Large bars on each level, plush seating, a DJ booth with state of the art sound system and multiple screens integrated  into the design for corporate branding and event branding are some highlights of the space.

I Love the '90s Halloween Party
https://ilove90shalloween.eventbrite.com

 Prive Group has partnered with Lyft to help provide safe travels to and from our events or anywhere else!  
Use this link for ride credits with Lyft:  
https://www.lyft.com/invited/6689


 
*21+ Event Valid ID Required
**Free Admission Before 12; Admission is always subject to door policy
For Table Reservations Please Contact: nycprivegroup@gmail.com
 ",https://www.eventbrite.com/e/the-attic-rooftop-saturdays-tickets-29015656610?aff=ebapi
760 Saturdays Hosted By Angela Yee @ Rooftop 760,2017-11-11T22:00:00,"Rooftop 760 on Saturdays is full of celebrity guests, carribean & hip hop vibes, it is everything a saturday night in New York City should be. Dont miss out on this fun event each and every saturday night located in the heart of the city.
**EVERYONE $10 BEFORE MIDNIGHT, $20 AFTER ONLY ON THE JM GUESTLIST**
Rooftop 760 at The Copacabana is a multi-level event space. Its outdoor patio overlooking the Theater District has a retractable roof, while its indoor dance floor boasts two levels of party space.
Retractable roof over outdoor patio, Two fully stocked bars, State-of-the-art A/V and sound system, High-definition TV screens located around venue.
For More Information Or To RSVP Go Online To: www.JMPROMOTION.comCall/Text: Mo 763-742-9026 Joe 347-570-2805Email: jmpromo.jm@gmail.com",https://www.eventbrite.com/e/760-saturdays-hosted-by-angela-yee-rooftop-760-tickets-39690507376?aff=ebapi
Elegant Saturdayz,2017-11-11T22:00:00,"Elegant Saturdays inside Embassy Lounge. Lovely lighting, Over 25 VIP sections Perfectly affordable Birthday packages. State of the art sound system with 2 level of music. Mixing the cultures of  hiphop, soca, raggae, dance hall, kompa and R&B music for a fun filled night life experience. You wont miss a beat !!
Each And Every Saturday 
Inside Embassy Lounge
Location 
3302 queens blvd, NY 11101

Ladies Free 12am W/ RSVP 
Music BY Dj Gunz , Dj Suave  

Powered By MrChambersNYC ( IG )
Powered By TheRealChanse ( IG )




Dress Code 
Grown & Sexy 
Ladies Heel Is A Must 
Guys No Hoodies or  Sweatsuit 
Bottle Specail Starting At 3 Bottles For 450 with Deposit





$450 all in: 2 bottles ciroc or 1 henny and 1 ciroc plus 1 bottle house rose champagne, hookah, shots, cupcakes 


Single Bottles
ciroc 250 
henny  275 
moet rose 300 
patron 300 
 

2 ciroc or henny 450 
2 moet rose or patron 500 

Presold Only 
RSVP | Tables | Info 
347.869.7508 or ‭929.398.9756‬
USE PROMO CODE FOR DISCOUNT ON
TICKETS & PACKAGES !!!!!! 

",https://www.eventbrite.com/e/elegant-saturdayz-tickets-38497430852?aff=ebapi
Elegant Saturdays,2017-11-11T22:00:00,"  
Elegant Saturdays inside Embassy Lounge. Lovely lighting, Over 25 VIP sections Perfectly affordable Birthday packages. Music By The Top DJS in NYC and Long Island. State of the art sound system with 2 level of music. Mixing the cultures of hiphop, soca, reggae, dance hall, kompa, afrobeat and R&B music for a fun filled night life experience. You wont miss a beat !
 
""Each and Every Saturday"" At Embassy Lounge
 
Dress Code:
Grown And Sexy
Ladies In Heels is A must
No Hoodies or Sweatsuit
 
Bottle Packages:
$450 All in: 2 Bottles Ciroc or Henny, 1 Bottle House Champagne
$500 All In: 2 Bottles Moet or Patron, 1 Bottle House Champagne
 
 Single Bottles:
Ciroc: $250
Henny: $275
Moët Rose: $300
Patron: $300 
 
",https://www.eventbrite.com/e/elegant-saturdays-tickets-39357139263?aff=ebapi
Cuffing Season (Yacht Party),2017-11-11T22:00:00,"SATURDAY NOVEMBER 11TH
ITS CUFFING SEASON!
THE CUFFING SEASON ON THE HUDSON YACHT RIDE!
COME EXPERIENCE ONE OF NYC'S STUNNING AND LUXURIOUS YACHTS THE HORNBLOWER SENSATION YACHT, VISIT WWW.HORNBLOWER.COM

HEATED DECKS OBSERVATION DECKS
STATE OF THE ART AUDIO SYSTEM
FLOOR TO CEILING GLASS WALLS WITH BREATHTAKING VIEWS

BOARDING BEGINS AT 10PM YACHT WILL PROMPTLY SAIL AT 11PM AND BE BACK BY 3 AM.
MUSIC BY NJ/NYC'S TOP DJS
STRICT DRESS CODE: FAILURE TO ADHERE TO DRESS CODE WILL RESULT IN NOT BEING ALLOWED ON THE YACHT WITH NO REFUND.
(NO FITTED HATS, NO BAGGY ATTIRE, NO HOODIES, NO CONSTRUCTION BOOTS NO PLAIN T SHIRTS. SHIRTS WITH A COLLAR ARE HIGHLY SUGGESTED) HIGHLY FASHIONABLE AND UPSCALE EVENT.
LADIES HEELS AND DRESSES ADVISED
COAT CHECK IS AVALABLE ON THE YACHT BUT IS NOT MANDATORY
FULL BUFFET MENU FOR PURCHASE MENU CONSISTING OF
SEASONAL VEGETABLES
PENNE ALA VODKA PASTA
YELLOW RICE
ROASTED CHICKEN

PATRONS MUST BE 21+ W/ VALID GOVERNMENT ISSUED ID
VIP AND BOTTLE SERVICE AVAILABLE
2 BOTTLES FOR $650 PACKAGE ( 1 LITER BOTTLES) MUST LEAVE 100$ DEPOSIT TO RESERVE SECTION THE REMAINING BALANCE MUST BE PAID IN FULL THE DAY BEFORE THE EVENT (11.10.2017) DEADLINE.

FOR MORE INFO 973-953-9237",https://www.eventbrite.com/e/cuffing-season-yacht-party-tickets-38641120632?aff=ebapi
CUFFING SEASON YACHT EDITION,2017-11-11T22:00:00,"SATURDAY NOVEMBER 11TH
ITS CUFFING SEASON!
THE CUFFING SEASON ON THE HUDSON YACHT RIDE!
COME EXPERIENCE ONE OF NYC'S STUNNING AND LUXURIOUS YACHTS THE HORNBLOWER SENSATION  YACHT, VISIT WWW.HORNBLOWER.COM

HEATED DECKS OBSERVATION DECKS
STATE OF THE ART AUDIO SYSTEM
FLOOR TO CEILING GLASS WALLS WITH BREATHTAKING VIEWS

BOARDING BEGINS AT 10PM YACHT WILL PROMPTLY SAIL AT 11PM AND BE BACK BY 3 AM.
MUSIC BY NJ/NYC'S TOP DJS
STRICT DRESS CODE: FAILURE TO ADHERE TO DRESS CODE WILL RESULT IN NOT BEING ALLOWED ON THE YACHT WITH NO REFUND. 
(NO FITTED HATS, NO BAGGY ATTIRE, NO HOODIES, NO CONSTRUCTION BOOTS NO PLAIN T SHIRTS. SHIRTS WITH A COLLAR ARE HIGHLY SUGGESTED) HIGHLY FASHIONABLE AND UPSCALE EVENT.
LADIES HEELS AND DRESSES ADVISED
COAT CHECK IS AVALABLE ON THE YACHT BUT IS NOT MANDATORY
FULL BUFFET MENU FOR PURCHASE MENU CONSISTING OF
SEASONAL VEGETABLES
PENNE ALA VODKA PASTA
YELLOW RICE 
ROASTED CHICKEN

PATRONS MUST BE 21+ W/ VALID GOVERNMENT ISSUED ID
VIP AND BOTTLE SERVICE AVAILABLE 
2 BOTTLES FOR $650 PACKAGE ( 1 LITER BOTTLES) MUST LEAVE 100$ DEPOSIT TO RESERVE SECTION THE REMAINING BALANCE MUST BE PAID IN FULL THE DAY BEFORE THE EVENT (11.10.2017) DEADLINE.

FOR MORE INFO 973-953-9237",https://www.eventbrite.com/e/cuffing-season-yacht-edition-tickets-38653183713?aff=ebapi
CUFFING SEASON,2017-11-11T22:00:00,"SATURDAY NOVEMBER 11TH
ITS CUFFING SEASON!
THE CUFFING SEASON ON THE HUDSON YACHT RIDE!
COME EXPERIENCE ONE OF NYC'S STUNNING AND LUXURIOUS YACHTS THE HORNBLOWER SENSATION  YACHT, VISIT WWW.HORNBLOWER.COM

HEATED DECKS OBSERVATION DECKS
STATE OF THE ART AUDIO SYSTEM
FLOOR TO CEILING GLASS WALLS WITH BREATHTAKING VIEWS

BOARDING BEGINS AT 10PM YACHT WILL PROMPTLY SAIL AT 11PM AND BE BACK BY 3 AM.
MUSIC BY NJ/NYC'S TOP DJS
STRICT DRESS CODE: FAILURE TO ADHERE TO DRESS CODE WILL RESULT IN NOT BEING ALLOWED ON THE YACHT WITH NO REFUND. 
(NO FITTED HATS, NO BAGGY ATTIRE, NO HOODIES, NO CONSTRUCTION BOOTS NO PLAIN T SHIRTS. SHIRTS WITH A COLLAR ARE HIGHLY SUGGESTED) HIGHLY FASHIONABLE AND UPSCALE EVENT.
LADIES HEELS AND DRESSES ADVISED
COAT CHECK IS AVALABLE ON THE YACHT BUT IS NOT MANDATORY
FULL BUFFET MENU FOR PURCHASE MENU CONSISTING OF
SEASONAL VEGETABLES
PENNE ALA VODKA PASTA
YELLOW RICE 
ROASTED CHICKEN

PATRONS MUST BE 21+ W/ VALID GOVERNMENT ISSUED ID
VIP AND BOTTLE SERVICE AVAILABLE 
2 BOTTLES FOR $650 PACKAGE ( 1 LITER BOTTLES) MUST LEAVE 100$ DEPOSIT TO RESERVE SECTION THE REMAINING BALANCE MUST BE PAID IN FULL THE DAY BEFORE THE EVENT (11.10.2017) DEADLINE.

FOR MORE INFO 973-953-9237",https://www.eventbrite.com/e/cuffing-season-tickets-38548629990?aff=ebapi
